iter	Passed	Remaining
859	2217	360
860	2221	358
861	2224	356
862	2227	353
863	2229	351
864	2231	348
865	2234	345
866	2237	343
867	2238	340
868	2241	337
869	2244	335
870	2246	332
871	2248	330
872	2251	327
873	2254	325
874	2257	322
875	2259	319
876	2262	317
877	2268	315
878	2272	312
879	2275	310
880	2277	307
881	2280	305
882	2282	302
883	2284	299
884	2286	297
885	2288	294
886	2291	291
887	2294	289
888	2296	286
889	2300	284
890	2303	281
891	2306	279
892	2309	276
893	2312	274
894	2316	271
895	2318	269
896	2320	266
897	2322	263
898	2325	261
899	2328	258
900	2331	256
901	2334	253
902	2337	251
903	2344	248
904	2347	246
905	2350	243
906	2352	241
907	2354	238
908	2356	235
909	2358	233
910	2362	230
911	2366	228
912	2371	225
913	2376	223
914	2382	221
915	2385	218
916	2387	216
917	2389	213
918	2391	210
919	2393	208
920	2395	205
921	2398	202
922	2400	200
923	2402	197
924	2404	194
925	2406	192
926	2408	189
927	2411	187
928	2413	184
929	2416	181
930	2418	179
931	2420	176
932	2425	174
933	2430	171
934	2433	169
935	2435	166
936	2437	163
937	2440	161
938	2442	158
939	2444	156
940	2446	153
941	2447	150
942	2449	148
943	2451	145
944	2453	142
945	2456	140
946	2458	137
947	2460	134
948	2462	132
949	2464	129
950	2465	127
951	2467	124
952	2469	121
953	2471	119
954	2473	116
955	2474	113
956	2476	111
957	2478	108
958	2479	106
959	2482	103
960	2484	100
961	2487	98
962	2489	95
963	2491	93
964	2493	90
965	2495	87
966	2497	85
967	2500	82
968	2503	80
969	2505	77
970	2506	74
971	2508	72
972	2510	69
973	2512	67
974	2513	64
975	2516	61
976	2519	59
977	2520	56
978	2522	54
979	2523	51
980	2525	48
981	2527	46
982	2530	43
983	2532	41
984	2534	38
985	2536	36
986	2538	33
987	2540	30
988	2542	28
989	2544	25
990	2546	23
991	2548	20
992	2551	17
993	2554	15
994	2555	12
995	2557	10
996	2560	7
997	2562	5
998	2564	2
999	2566	0
